buy_inst_num,date,rank_reason,sell_inst_num,stock_name,stock_symbol
14460.60,2022-01-17,连续3个交易日内收盘价格涨幅较基准指数偏离值累计达到30%的证券,14444.90,前沿生物,688221
1307.57,2022-01-17,"连续三个交易日内,跌幅偏离值累计达20%的证券",1323.12,顾地科技,002694
0.00,2022-01-17,日跌幅偏离值达7%的证券,4063.53,三全食品,002216
18058.22,2022-01-17,有价格涨跌幅限制的日换手率达到30%的证券,17390.26,国联水产,300094
815.37,2022-01-17,无价格涨跌幅限制的证券,627.03,德石股份,301158
511.07,2022-01-17,日跌幅偏离值达7%的证券,374.70,北清环能,000803
3748.48,2022-01-17,日振幅值达15%的证券,9962.43,振德医疗,603301
3548.61,2021-12-30,有价格涨跌幅限制的日收盘价格涨幅达到15%的证券,567.41,聚石化学,688669
0.00,2022-01-05,"连续三个交易日内,涨幅偏离值累计达20%的证券",852.37,沃华医药,002107
8528.01,2021-12-24,日跌幅偏离值达7%的证券,11871.73,仁东控股,002647
0.00,2022-01-17,有价格涨跌幅限制的日收盘价格涨幅达到15%的证券,3677.58,数字政通,300075
11784.25,2022-01-17,"连续三个交易日内,涨幅偏离值累计达20%的证券",6057.81,永新光学,603297
7222.40,2022-01-17,有价格涨跌幅限制的日收盘价格涨幅达到15%的证券,0.00,宝兰德,688058
1677.33,2021-12-30,有价格涨跌幅限制的日收盘价格涨幅达到15%的证券,7554.95,锋尚文化,300860
663.17,2021-12-30,日振幅值达15%的证券,0.00,克劳斯,600579
1437.29,2022-01-05,"连续三个交易日内,涨幅偏离值累计达20%的证券",0.00,万里股份,600847
43544.80,2022-01-05,无价格涨跌幅限制的证券,50059.04,中国移动,600941
8587.38,2022-01-05,"连续三个交易日内,涨幅偏离值累计达20%的证券",7033.84,二三四五,002195
2080.84,2022-01-13,"连续三个交易日内,涨幅偏离值累计达20%的证券",1432.72,瑞康医药,002589
4650.29,2021-12-24,"连续三个交易日内,涨幅偏离值累计达20%的证券",0.00,天马科技,603668
3912.64,2021-12-24,有价格涨跌幅限制的日换手率达到30%的证券,1204.18,卡倍亿,300863
0.00,2022-01-17,日涨幅偏离值达7%的证券,4201.28,劲嘉股份,002191
349.47,2022-01-17,有价格涨跌幅限制的日换手率达到30%的证券,4424.18,易瑞生物,300942
559.93,2022-01-17,"连续三个交易日内,涨幅偏离值累计达20%的证券",1803.96,富通信息,000836
898.15,2021-12-30,日振幅值达15%的证券,554.96,创新医疗,002173
0.00,2021-12-30,日涨幅偏离值达7%的证券,31102.14,紫光国微,002049
6824.33,2021-12-20,"连续三个交易日内,涨幅偏离值累计达20%的证券",0.00,广誉远,600771
2105.04,2021-12-20,"连续三个交易日内,涨幅偏离值累计达20%的证券",1098.83,嘉凯城,000918
806.84,2022-01-18,"连续三个交易日内,涨幅偏离值累计达20%的证券",3378.24,獐子岛,002069
0.00,2021-12-14,日涨幅偏离值达7%的证券,322.26,万林物流,603117
0.00,2022-01-10,日涨幅偏离值达7%的证券,358.29,哈空调,600202
12884.82,2021-12-08,日涨幅偏离值达7%的证券,8503.97,拓邦股份,002139
2467.02,2022-01-05,日跌幅偏离值达7%的证券,3880.53,航发控制,000738
490.02,2022-01-05,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,443.83,*ST当代,000673
0.00,2022-01-13,"连续三个交易日内,涨幅偏离值累计达20%的证券",1004.06,金陵饭店,601007
