Stkcd	Trddt	Clsprc
000001	2022-01-25	16.850
000001	2022-01-26	16.650
000002	2022-01-25	20.820
000002	2022-01-26	20.730
000004	2022-01-25	20.240
000004	2022-01-26	22.260
000005	2022-01-25	2.050
000005	2022-01-26	2.060
000006	2022-01-25	4.290
000006	2022-01-26	4.330
000007	2022-01-25	6.820
000007	2022-01-26	6.480
000008	2022-01-25	2.520
000008	2022-01-26	2.590
000009	2022-01-25	13.600
000009	2022-01-26	13.350
000010	2022-01-25	3.390
000010	2022-01-26	3.430
000011	2022-01-25	10.910
000011	2022-01-26	11.180
000012	2022-01-25	8.820
000012	2022-01-26	8.900
000014	2022-01-25	7.740
000014	2022-01-26	7.870
000016	2022-01-25	5.790
000016	2022-01-26	5.860
000017	2022-01-25	3.330
000017	2022-01-26	3.380
000019	2022-01-25	6.770
000019	2022-01-26	6.790
000020	2022-01-25	8.840
000020	2022-01-26	9.110
000021	2022-01-25	13.800
000021	2022-01-26	13.760
000023	2022-01-25	12.390
000023	2022-01-26	12.770
000025	2022-01-25	14.070
000025	2022-01-26	14.350
000026	2022-01-25	10.930
000026	2022-01-26	11.080
000027	2022-01-25	7.000
000027	2022-01-26	7.040
000028	2022-01-25	33.360
000028	2022-01-26	33.370
000029	2022-01-25	7.420
000029	2022-01-26	7.550
000030	2022-01-25	6.430
000030	2022-01-26	6.560
000031	2022-01-25	3.760
000031	2022-01-26	3.760
000032	2022-01-25	22.320
000032	2022-01-26	22.320
000034	2022-01-25	17.620
000034	2022-01-26	16.750
000035	2022-01-25	5.230
000035	2022-01-26	5.300
000036	2022-01-25	4.030
000036	2022-01-26	4.090
000037	2022-01-25	6.760
000037	2022-01-26	6.810
000038	2022-01-25	8.820
000038	2022-01-26	9.700
000039	2022-01-25	15.810
000039	2022-01-26	15.630
000040	2022-01-25	3.280
000040	2022-01-26	3.320
000042	2022-01-25	7.870
000042	2022-01-26	8.000
000045	2022-01-25	8.280
000045	2022-01-26	8.420
000046	2022-01-25	1.800
