buy_inst_num,date,rank_reason,sell_inst_num,stock_name,stock_symbol
0.00,2022-04-08,有价格涨跌幅限制的日收盘价格跌幅达到-15%的证券,4230.98,泰恩康,301263
1232.73,2022-04-07,日跌幅偏离值达7%的证券,0.00,信达地产,600657
1239.12,2022-04-07,"连续三个交易日内,涨幅偏离值累计达20%的证券",831.99,新华联,000620
23860.70,2022-04-07,"连续三个交易日内,涨幅偏离值累计达20%的证券",7279.64,以岭药业,002603
2630.49,2022-04-07,连续3个交易日内收盘价格涨幅较基准指数偏离值累计达到30%的证券,0.00,富春股份,300299
0.00,2022-04-07,无价格涨跌幅限制的证券,2928.72,铭利达,301268
1004.53,2022-04-07,日跌幅偏离值达7%的证券,1142.73,盘龙药业,002864
413.89,2022-04-07,连续3个交易日内收盘价格跌幅较基准指数偏离值累计达到-30%的证券,18501.55,新莱应材,300260
2748.21,2022-04-07,有价格涨跌幅限制的日换手率达到30%的证券,21.06,亨迪药业,301211
4105.99,2022-03-18,"连续三个交易日内,跌幅偏离值累计达20%的证券",5123.70,中坚科技,002779
208.69,2022-03-17,连续三个交易日内，跌幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,237.20,*ST华塑,000509
923.99,2022-03-17,有价格涨跌幅限制的日换手率达到30%的证券,0.00,华是科技,301218
434.95,2022-03-17,日涨幅偏离值达7%的证券,192.32,台华新材,603055
1179.51,2022-04-07,日跌幅偏离值达7%的证券,823.61,莱茵生物,002166
0.00,2022-04-07,日跌幅偏离值达7%的证券,5876.43,博敏电子,603936
2034.26,2022-04-07,"连续三个交易日内,涨幅偏离值累计达20%的证券",1809.63,八一钢铁,600581
7.94,2022-04-07,有价格涨跌幅限制的日换手率达到30%的证券,839.31,浙江恒威,301222
0.00,2022-04-07,"连续三个交易日内,涨幅偏离值累计达20%的证券",941.13,国统股份,002205
0.00,2022-04-07,无价格涨跌幅限制的证券,787.10,天益医疗,301097
19.17,2022-04-06,有价格涨跌幅限制的日收盘价格涨幅达到15%的证券,409.80,全通教育,300359
0.00,2022-03-17,有价格涨跌幅限制的日换手率达到30%的证券,582.67,天亿马,301178
549.03,2022-03-17,连续3个交易日内收盘价格涨幅较基准指数偏离值累计达到30%的证券,1373.68,中富通,300560
2370.88,2022-03-17,有价格涨跌幅限制的日换手率达到30%的证券,503.30,远方信息,300306
5821.75,2022-03-17,有价格涨跌幅限制的日收盘价格涨幅达到15%的证券,571.44,芳源股份,688148
2022.29,2022-03-17,有价格涨跌幅限制的日收盘价格涨幅达到15%的证券,0.00,福立旺,688678
684.50,2022-03-17,日跌幅偏离值达7%的证券,1191.81,龙源电力,001289
1739.64,2022-04-06,日跌幅偏离值达7%的证券,1701.35,垒知集团,002398
12420.76,2022-04-06,连续3个交易日内收盘价格涨幅较基准指数偏离值累计达到30%的证券,9613.64,康芝药业,300086
6501.79,2022-04-06,日跌幅偏离值达7%的证券,5249.50,圆通速递,600233
1867.05,2022-04-06,日跌幅偏离值达7%的证券,6591.82,伯特利,603596
1237.12,2022-04-06,有价格涨跌幅限制的日换手率达到30%的证券,1042.33,晓鸣股份,300967
0.07,2022-04-06,日振幅值达15%的证券,514.39,奇信股份,002781
5718.96,2022-04-06,有价格涨跌幅限制的日收盘价格涨幅达到15%的证券,1372.44,香雪制药,300147
3166.94,2022-03-17,有价格涨跌幅限制的日收盘价格涨幅达到15%的证券,2155.87,上海凯宝,300039
10236.11,2022-03-17,日振幅值达15%的证券,41001.18,九洲药业,603456
25.36,2022-03-17,有价格涨跌幅限制的日收盘价格涨幅达到15%的证券,307.46,容大感光,300576
0.00,2022-03-17,无价格涨跌幅限制的证券,11424.40,腾远钴业,301219
7137.52,2022-03-16,有价格涨跌幅限制的日收盘价格涨幅达到15%的证券,0.00,大地熊,688077
19928.95,2022-03-16,日跌幅偏离值达7%的证券,51661.42,国电南瑞,600406
228.13,2022-03-16,有价格涨跌幅限制的日收盘价格涨幅达到15%的证券,571.43,天地数码,300743
2160.48,2022-04-06,日跌幅偏离值达7%的证券,11447.40,斯达半导,603290
744.42,2022-04-06,"连续三个交易日内,涨幅偏离值累计达20%的证券",949.21,海南高速,000886
1577.39,2022-04-06,连续3个交易日内收盘价格涨幅较基准指数偏离值累计达到30%的证券,0.00,中旗股份,300575
